Source domain;Source URL;Target URL;Anchor Text;Source Crawl Date;Source First Found Date;FlagNoFollow;FlagImageLink;FlagRedirect;FlagFrame;FlagOldCrawl;FlagAltText;FlagMention;SourceCitationFlow;SourceTrustFlow;TargetCitationFlow;TargetTrustFlow;SourceTopicalTrustFlow_Topic_0;SourceTopicalTrustFlow_Value_0;RefDomainTopicalTrustFlow_Topic_0;RefDomainTopicalTrustFlow_Value_0,,
1.it.katalog-24.augustow.pl;http://1.it.katalog-24.augustow.pl/wpis,578,lamaipl.html;;;;;;;;;;;;;;;;;;;
10100.1.listastron.bialystok.pl;http://10100.1.listastron.bialystok.pl/wpis,390,lamai.html;;;;;;;;;;;;;;;;;;;
12buty.pl;http://12buty.pl/jaki-kroj-sukienki-zamaskuje-odstajacy-brzuch/;http://www.lamai.pl;http://www.lamai.pl/;2017-09-08;2017-08-29;;;;;;;;9;0;32;12;;;Regional/Europe;2,,
12buty.pl;http://12buty.pl/najlepszy-wybor-dla-nocnej-garderoby-w-upalne-dni/;https://www.lamai.pl/118-koszulki-nocne;koszulki nocne na lato;2017-09-08;2017-06-24;;;;;;;;6;0;30;16;;;Regional/Europe;2,,
12buty.pl;http://12buty.pl/brzydka-pogoda-a-ty-chcesz-wyjsc-z-ukochanym-na-randke-z-pomoca-przyjda-rajtuzy/;https://www.lamai.pl/12-rajstopy;rajtuzy online;2017-09-08;2017-07-27;;;;;;;;15;0;33;16;;;Regional/Europe;2,,
12buty.pl;http://12buty.pl/category/bez-kategorii/feed/;https://www.lamai.pl/12-rajstopy;https://www.lamai.pl/12-rajstopy;2017-08-29;2017-08-29;;;;;;;;8;0;33;16;;;Regional/Europe;2,,
12buty.pl;http://12buty.pl/category/bez-kategorii/feed/;https://www.lamai.pl/12-rajstopy;rajtuzy online;2017-08-29;2017-08-29;;;;;;;;8;0;33;16;;;Regional/Europe;2,,
132.multi.seokatalog.beskidy.pl;http://132.multi.seokatalog.beskidy.pl/wpis,518,lamaipl.html;;;;;;;;;;;;;;;;;;;
2015.lista.seo.ilawa.pl;http://2015.lista.seo.ilawa.pl/wpis,310,lamai.html;;;;;;;;;;;;;;;;;;;
2016.lista.seo.ilawa.pl;http://2016.lista.seo.ilawa.pl/wpis%2C258%2Clamaipl.html;http://www.lamai.pl;lamai.pl;2017-06-15;2017-06-15;;;;;;;;0;0;32;12;;;Regional/Europe;30,,
2017katalog.com.pl;http://2017katalog.com.pl/firmy-wg.-branz/handel/1016,koszulki-nocne-z-lamai.pl.html;;;;;;;;;;;;;;;;;;;,
2naszeforum.info;http://2www.naszeforum.info/showthread.php?mode=linear&tid=1884&pid=10275;https://www.lamai.pl;sklep internetowy z bielizną;2017-08-12;2017-08-12;;;;;;;;0;0;39;25;;;Regional/Europe;2,,
2naszeforum.info;http://2www.naszeforum.info/showthread.php?mode=linear&tid=1884&pid=10276;https://www.lamai.pl;sklep internetowy z bielizną;2017-08-11;2017-08-11;;;;;;;;0;0;39;25;;;Regional/Europe;2,,
2naszeforum.info;http://2www.naszeforum.info/showthread.php?mode=linear&tid=1884&pid=6044;https://www.lamai.pl;sklep internetowy z bielizną;2017-08-04;2017-08-04;;;;;;;;0;0;39;25;;;Regional/Europe;2,,
2naszeforum.info;http://2www.naszeforum.info/showthread.php?mode=linear&tid=1884&pid=6354;https://www.lamai.pl;sklep internetowy z bielizną;2017-08-05;2017-08-05;;;;;;;;0;0;39;25;;;Regional/Europe;2,,
2pln.pl;http://www.2pln.pl/inne/lamai-pl-page-17844.html;http://www.lamai.pl;lamai.pl;2017-08-09;2017-08-09;;;;;;;;6;3;32;12;Games/Video Games;3;Regional/Europe;22,,
2pln.pl;http://www.2pln.pl/inne/lamai-pl-page-17844.html;http://www.lamai.pl;www.lamai.pl;2017-08-09;2017-08-09;;;;;;;;6;3;32;12;Games/Video Games;3;Regional/Europe;22,,
313.com.pl;http://313.com.pl/sklep-internetowy-z-bielizna-damska/;https://www.lamai.pl;lamai;2017-08-30;2017-08-30;;;;;;;;11;8;39;25;Computers/Internet/Domain Names;8;Computers/Internet/Domain Names;9,,
313.com.pl;http://313.com.pl/sklep-internetowy-z-bielizna-damska/;https://www.lamai.pl;https://www.lamai.pl/;2017-08-30;2017-08-30;;;;;;;;11;8;39;25;Computers/Internet/Domain Names;8;Computers/Internet/Domain Names;9,,
3naszeforum.info;http://3www.naszeforum.info/showthread.php?mode=linear&tid=1884&pid=6044;https://www.lamai.pl;sklep internetowy z bielizną;2017-08-10;2017-08-10;;;;;;;;0;0;39;25;;;Regional/Europe;2,,
3naszeforum.info;http://3www.naszeforum.info/showthread.php?mode=linear&tid=1884&pid=6354;https://www.lamai.pl;sklep internetowy z bielizną;2017-08-10;2017-08-10;;;;;;;;0;0;39;25;;;Regional/Europe;2,,
3naszeforum.info;http://3www.naszeforum.info/showthread.php?mode=linear&tid=1884&pid=8848;https://www.lamai.pl;sklep internetowy z bielizną;2017-08-10;2017-08-10;;;;;;;;0;0;39;25;;;Regional/Europe;2,,
3naszeforum.info;http://3www.naszeforum.info/showthread.php?mode=linear&tid=2509&pid=8830;https://www.lamai.pl;sklep internetowy z bielizną;2017-08-10;2017-08-10;;;;;;;;0;0;39;25;;;Regional/Europe;2,,
3ww.kuptanio.pl;http://3ww.kuptanio.pl/idz-do-sklepu/obuwie-damskie;http://www.lamai.pl;;2017-09-04;2017-09-04;;;+;;;;;0;0;32;12;;;Shopping/Health;24,,
3ww.kuptanio.pl;http://3ww.kuptanio.pl/idz-do-sklepu/obuwie-damskie;https://www.lamai.pl;;2017-09-04;2017-09-04;;;+;;;;;0;0;39;25;;;Shopping/Health;24,,
4ng.com.pl;http://4ng.com.pl/sklepy/lamai/;http://www.lamai.pl;lamai;2017-09-08;2017-09-06;;;;;;;;0;0;32;12;;;;,,
4ng.com.pl;http://4ng.com.pl/sklepy/lamai/;;;;;;;;;;;;;;;;;;;,,
4young.pl;http://4young.pl/u-igor;;;;;;;;;;;;;;;;;;;,,
4young.pl;http://4young.pl/u-izabela;;;;;;;;;;;;;;;;;;;,,
4young.pl;http://4young.pl/u-ilona;;;;;;;;;;;;;;;;;;;,,
4young.pl;http://4young.pl/t-ulubione-sklepy;;;;;;;;;;;;;;;;;;;,,
83.pl;http://83.pl/httpswww-lamai-pl-wpis6378/;http://lamai.pl;lamai.pl;2017-09-01;2017-09-01;;;;;;;;0;0;23;13;;;Business;16,,
83.pl;http://83.pl/httpswww-lamai-pl-wpis6378/;http://lamai.pl;https://www.lamai.pl/;2017-09-01;2017-09-01;;+;;;;;;0;0;23;13;;;Business;16,,
a.dom.seolista.bialowieza.pl;http://a.dom.seolista.bialowieza.pl/wpis%2C388%2Clamai.html;http://www.lamai.pl;lamai;2017-07-12;2017-07-12;;;;;;;;0;0;32;12;;;Science/Biology;37,,
abc.katalog24.augustow.pl;http://abc.katalog24.augustow.pl/wpis,110,lamai.html;;;;;;;;;;;;;;;;;;;
access4all.eu;http://access4all.eu/kiedy-zapoznamy-sie-z-metodami-oraz-wdrozymy-je-w-zycie-pozostaje-pojsc-na-zakupy-przykladowo-na-www-lamai-pl/;http://www.lamai.pl;botki;2017-08-06;2017-08-06;;;;;;;;4;0;32;12;;;;,,
